dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente,qt_total_frentes
74065,Fatima Pelaes,REPUBLICANOS,AP,0,0,0,0,0,1,3
214694,Jorge Goetten,REPUBLICANOS,SC,10,2,3,5,3,4,178
220617,Murillo Gouvea,PSDB,RJ,6,3,3,4,4,4,161
204566,Marreca Filho,PRD,MA,11,3,3,5,5,2,203
220697,Jadyel Alencar,REPUBLICANOS,PI,13,4,2,4,6,6,224
220627,Paulinho Freire,UNIÃO,RN,3,1,4,0,1,0,84
220588,Roberto Duarte,REPUBLICANOS,AC,12,6,5,5,5,7,261
161440,Pezenti,MDB,SC,12,1,4,5,6,4,234
220618,Sargento Portugal,PODE,RJ,12,4,5,3,5,5,224
204356,Amaro Neto,PP,ES,2,0,1,2,2,3,111
220662,Lucas Ramos,PSB,PE,6,4,1,5,4,4,167
220590,Coronel Ulysses,UNIÃO,AC,8,3,5,4,3,4,183
220531,Gilvan Maximo,REPUBLICANOS,DF,10,2,6,3,5,2,208
220561,Delegada Katarina,PSD,SE,3,1,1,0,3,2,77
222429,Luis Carlos Gomes,REPUBLICANOS,RJ,3,0,0,1,2,1,70
98615,Ismael,PL,SC,3,4,1,1,0,2,81
141480,Lázaro Botelho,PP,TO,0,1,3,2,1,0,50
229069,Capitão Samuel,PP,SE,0,0,1,0,0,0,2
222565,Soldado Noelio,UNIÃO,CE,0,1,1,0,0,0,3
204360,Silvia Cristina,PP,RO,13,4,5,6,4,7,244
178954,Lucio Mosquini,PL,RO,8,4,6,5,5,6,246
220540,Duda Ramos,PODE,RR,3,3,3,2,1,2,115
220632,Ana Pimentel,PT,MG,4,3,2,2,1,3,106
220676,Andreia Siqueira,PSB,PA,11,2,2,4,4,5,179
98057,Lafayette De Andrada,PL,MG,10,5,6,6,3,7,279
180214,Pastor Diniz,UNIÃO,RR,6,5,4,6,4,3,169
220566,Lêda Borges,REPUBLICANOS,GO,9,4,4,4,4,3,180
160517,Paulo Folletto,PSB,ES,13,5,4,5,6,5,252
220666,Coronel Meira,PL,PE,8,1,5,4,2,6,152
220687,Márcio Honaiser,SOLIDARIEDADE,MA,15,4,6,6,6,8,254
220553,Denise Pessôa,PT,RS,7,3,1,1,5,4,140
220527,Jack Rocha,PT,ES,2,2,1,2,0,2,63
220665,Clarissa Tércio,PP,PE,3,2,2,0,1,1,50
220581,Luciano Amaral,PSD,AL,0,1,0,2,0,1,39
74374,Geraldo Resende,UNIÃO,MS,12,3,4,5,5,4,211
220615,Pastor Henrique Vieira,PSOL,RJ,5,4,1,1,2,4,84
230768,Zé Adriano,PP,AC,0,0,0,1,0,1,7
