dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
204505,Vavá Martins,REPUBLICANOS,PA,195,0,0,287
204562,Edilázio Júnior,PSD,MA,194,0,0,288
204404,Lucas Redecker,PSD,RS,194,3,0,289
194260,Nivaldo Albuquerque,REPUBLICANOS,AL,193,0,0,290
220712,Fausto Jr.,UNIÃO,AM,193,0,0,291
160601,Pr. Marco Feliciano,PL,SP,193,0,0,292
220691,Diego Coronel,REPUBLICANOS,BA,192,0,0,293
160653,Roberto De Lucena,REPUBLICANOS,SP,192,5,0,294
204476,Chiquinho Brazão,S.PART.,RJ,192,0,0,295
220548,Camila Jara,PT,MS,192,1,0,296
204504,Cezinha De Madureira,PL,SP,192,2,0,297
74084,Raimundo Santos,PSD,PA,191,0,0,298
220647,Mauricio Neves,PP,SP,191,1,0,299
204474,Juarez Costa,MDB,MT,189,0,0,300
204521,Abou Anni,UNIÃO,SP,189,1,0,301
220713,Saullo Vianna,MDB,AM,189,0,0,302
204427,Fernando Rodolfo,PRD,PE,189,1,0,303
220552,Zucco,PL,RS,188,0,0,304
210989,Bruno Farias,REPUBLICANOS,MG,188,1,0,305
179000,Marcelo Álvaro Antônio,PL,MG,188,1,0,306
220612,Bebeto,PP,RJ,188,0,0,307
141513,Bilac Pinto,UNIÃO,MG,186,0,0,308
73466,Rubens Bueno,CIDADANIA,PR,186,0,0,309
160651,Rogério Peninha Mendonça,MDB,SC,186,1,0,310
204499,Cássio Andrade,PSB,PA,186,1,0,311
220668,Maria Arraes,PSB,PE,186,0,0,312
160629,Romero Rodrigues,PODE,PB,186,0,0,313
204460,Carlos Jordy,PL,RJ,185,1,0,314
204446,Professor Joziel,PATRIOTA,RJ,185,1,0,315
141464,José Airton Félix Cirilo,PT,CE,185,0,0,316
178954,Lucio Mosquini,MDB,RO,185,2,0,317
220533,Prof. Reginaldo Veras,PV,DF,185,0,0,318
151208,Laercio Oliveira,PP,SE,184,3,0,319
204539,Hercílio Coelho Diniz,MDB,MG,183,0,0,320
204465,Haroldo Cathedral,PSD,RR,183,0,0,321
220590,Coronel Ulysses,UNIÃO,AC,183,2,0,322
204389,Elias Vaz,PSB,GO,182,0,0,323
220714,Adail Filho,MDB,AM,182,0,0,324
92346,Eduardo Bolsonaro,PL,SP,181,0,0,325
204404,Lucas Redecker,PSDB,RS,181,2,0,326
93083,Cacá Leão,PP,BA,180,0,0,327
74858,Lindbergh Farias,PT,RJ,180,1,0,328
220566,Lêda Borges,REPUBLICANOS,GO,180,0,0,329
160570,Jerônimo Goergen,PP,RS,179,3,0,330
220676,Andreia Siqueira,PSB,PA,179,0,0,331
141411,Dagoberto Nogueira,PSDB,MS,178,0,0,332
160531,Jhonatan De Jesus,REPUBLICANOS,RR,178,0,0,333
74090,Átila Lins,PSD,AM,178,0,0,334
214694,Jorge Goetten,REPUBLICANOS,SC,178,1,0,335
178884,Hildo Rocha,MDB,MA,177,4,0,336
220663,Eriberto Medeiros,PSB,PE,177,0,0,337
62881,Danilo Forte,PP,CE,177,0,0,338
204494,Fred Costa,PATRIOTA,MG,177,1,0,339
205865,Reinhold Stephanes Junior,PSD,PR,177,0,0,340
204352,Camilo Capiberibe,PSB,AP,177,0,0,341
74655,Eduardo Barbosa,PSDB,MG,177,0,0,342
204469,Manuel Marcos,REPUBLICANOS,AC,177,0,0,343
160528,Danilo Cabral,PSB,PE,176,2,0,344
74075,Elcione Barbalho,MDB,PA,176,1,0,345
178956,Mariana Carvalho,REPUBLICANOS,RO,176,1,0,346
205550,Jorge Braz,REPUBLICANOS,RJ,176,0,0,347
141523,Raul Henry,MDB,PE,176,0,0,348
171617,Paulão,PT,AL,176,0,0,349
220579,Silvia Waiãpi,PL,AP,175,0,0,350
204413,Alcides Rodrigues,PATRIOTA,GO,175,0,0,351
160532,Eli Corrêa Filho,UNIÃO,SP,174,1,0,352
222142,Coronel Telhada,PP,SP,174,1,0,353
204442,Gurgel,PL,RJ,173,1,0,354
204455,Luiz Lima,PL,RJ,173,0,0,355
204436,Isnaldo Bulhões Jr.,MDB,AL,173,0,0,356
178966,Geovania De Sá,PSDB,SC,173,1,0,357
220554,Alexandre Lindenmeyer,PT,RS,173,1,0,358
160632,Zé Silva,UNIÃO,MG,172,1,0,359
220530,Messias Donato,UNIÃO,ES,172,0,0,360
159237,Assis Carvalho,PT,PI,171,0,0,361
160642,Pastor Eurico,PL,PE,171,0,0,362
178839,Jéssica Sales,MDB,AC,170,0,0,363
107283,Gleisi Hoffmann,PT,PR,170,0,0,364
74366,João Campos,REPUBLICANOS,GO,170,0,0,365
178920,Ricardo Teobaldo,PODE,PE,170,0,0,366
204494,Fred Costa,PRD,MG,170,1,0,367
178842,Jhc,PSB,AL,169,0,0,368
204514,Coronel Tadeu,PL,SP,169,1,0,369
204398,Felipe Francischini,PODE,PR,169,1,0,370
180214,Pastor Diniz,UNIÃO,RR,169,0,0,371
98148,Cobalchini,MDB,SC,169,0,0,372
204541,Eduardo Bismarck,PDT,CE,168,1,0,373
220549,Any Ortiz,PP,RS,168,1,0,374
178933,Sergio Souza,MDB,PR,168,2,0,375
204534,Tabata Amaral,PSB,SP,168,0,0,376
