id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_presencas_votacao,qt_votos_sim,qt_votos_nao,qt_abstencoes,qt_obstrucoes,pc_participacao_decisiva,tx_faixa_fidelidade_partidaria
128760,Paulo Marinho Jr,PL,MA,320,320,168,148,0,4,98.75,Alta participação em votações
205550,Jorge Braz,REPUBLICANOS,RJ,1455,1454,884,570,0,0,100.0,Alta participação em votações
178947,Sóstenes Cavalcante,PL,RJ,874,874,448,340,1,25,90.16,Alta participação em votações
160556,Padre João,PT,MG,1459,1458,850,577,0,31,97.87,Alta participação em votações
204512,Delegado Marcelo Freitas,UNIÃO,MG,1632,1631,915,716,0,0,100.0,Alta participação em votações
118594,Marcelo Squassoni,REPUBLICANOS,SP,121,121,69,52,0,0,100.0,Alta participação em votações
74419,Gonzaga Patriota,PSB,PE,406,406,218,168,5,15,95.07,Alta participação em votações
178985,Miguel Lombardi,PL,SP,1449,1448,797,581,4,66,95.17,Alta participação em votações
204431,Marcos Aurélio Sampaio,MDB,PI,1300,1299,786,513,0,0,100.0,Alta participação em votações
205548,David Miranda,PDT,RJ,316,316,179,130,0,7,97.78,Alta participação em votações
160553,Antonio Brito,PSD,BA,655,654,449,205,0,0,100.0,Alta participação em votações
204557,Sidney Leite,PSD,AM,1196,1195,681,502,12,0,99.0,Alta participação em votações
178825,Leo De Brito,PT,AC,445,445,247,170,0,28,93.71,Alta participação em votações
141518,Paulinho Da Força,SOLIDARIEDADE,SP,571,570,370,199,1,0,99.82,Alta participação em votações
204522,Marco Bertaiolli,PSD,SP,518,518,298,219,1,0,99.81,Alta participação em votações
74376,Vander Loubet,PT,MS,1368,1368,794,543,15,16,97.73,Alta participação em votações
204550,Júnior Mano,PSB,CE,596,596,400,191,0,5,99.16,Alta participação em votações
204516,Alexis Fonteyne,NOVO,SP,470,470,213,253,0,4,99.15,Alta participação em votações
90201,Pedro Augusto Bezerra,PDT,CE,380,380,231,147,0,2,99.47,Alta participação em votações
178937,Altineu Côrtes,PL,RJ,655,655,346,230,0,19,87.94,Alta participação em votações
73696,Angela Amin,PP,SC,450,450,245,199,6,0,98.67,Alta participação em votações
160587,Fábio Trad,PSD,MS,422,422,236,186,0,0,100.0,Alta participação em votações
214865,Joceval Rodrigues,CIDADANIA,BA,65,65,37,28,0,0,100.0,Alta participação em votações
178924,Capitão Fábio Abreu,PSD,PI,443,443,255,188,0,0,100.0,Alta participação em votações
160531,Jhonatan De Jesus,REPUBLICANOS,RR,414,414,238,174,0,0,99.52,Alta participação em votações
233594,Rafael Fera,PODE,RO,240,239,151,88,0,0,100.0,Alta participação em votações
220590,Coronel Ulysses,UNIÃO,AC,969,968,537,431,0,0,100.0,Alta participação em votações
98615,Ismael,PL,SC,899,898,522,358,18,0,98.0,Alta participação em votações
234310,Ricardo Galvão,REDE,SP,148,148,79,60,6,3,93.92,Alta participação em votações
220629,Dandara,PT,MG,779,778,468,310,0,0,100.0,Alta participação em votações
221338,Professora Luciene Cavalcante,PSOL,SP,1004,1004,521,480,0,3,99.7,Alta participação em votações
220628,Mauricio Do Vôlei,PL,MG,931,930,475,391,0,64,93.12,Alta participação em votações
220598,Tarcísio Motta,PSOL,RJ,1110,1109,565,535,1,8,99.19,Alta participação em votações
220612,Bebeto,PP,RJ,1075,1074,666,406,2,0,99.81,Alta participação em votações
220654,Delegado Paulo Bilynskyj,PL,SP,1212,1211,587,550,0,74,93.89,Alta participação em votações
221148,Alfredinho,PT,SP,1039,1038,618,417,1,2,99.71,Alta participação em votações
220652,Delegado Palumbo,PODE,SP,1090,1089,573,515,1,0,99.91,Alta participação em votações
220619,Delegado Ramagem,PL,RJ,1044,1043,501,476,0,66,93.67,Alta participação em votações
220538,Albuquerque,REPUBLICANOS,RR,899,898,576,322,0,0,100.0,Alta participação em votações
162067,Kiko Celeguim,PT,SP,925,924,554,365,2,3,99.46,Alta participação em votações
220550,Mauricio Marcon,PL,RS,1133,1132,578,551,3,0,99.73,Alta participação em votações
220566,Lêda Borges,REPUBLICANOS,GO,753,752,477,274,1,0,99.87,Alta participação em votações
220545,Filipe Martins,PL,TO,1001,1000,534,396,0,70,93.0,Alta participação em votações
220647,Mauricio Neves,PP,SP,617,616,379,237,0,0,100.0,Alta participação em votações
163321,Ronaldo Nogueira,REPUBLICANOS,RS,687,686,424,262,0,0,100.0,Alta participação em votações
220571,Daniel Agrobom,PSD,GO,1066,1065,608,432,3,22,97.65,Alta participação em votações
220603,Dani Cunha,PL,RJ,879,878,538,340,0,0,100.0,Alta participação em votações
141485,Luiz Carlos Busato,UNIÃO,RS,941,940,576,364,0,0,100.0,Alta participação em votações
220526,Gilvan Da Federal,PL,ES,861,860,408,376,0,76,91.16,Alta participação em votações
220692,Dal Barreto,UNIÃO,BA,816,815,510,298,7,0,99.14,Alta participação em votações
220567,Jeferson Rodrigues,PSDB,GO,775,774,487,286,1,0,99.87,Alta participação em votações
208297,Katia Dias,REPUBLICANOS,MG,110,110,60,50,0,0,100.0,Alta participação em votações
180214,Pastor Diniz,UNIÃO,RR,907,906,488,417,1,0,99.89,Alta participação em votações
220661,Matheus Noronha,PL,CE,784,784,490,285,1,8,98.85,Alta participação em votações
220627,Paulinho Freire,UNIÃO,RN,442,442,274,162,6,0,98.64,Alta participação em votações
225727,Flavinha,MDB,MT,117,117,56,61,0,0,100.0,Alta participação em votações
221378,Reginete Bispo,PT,RS,491,491,301,190,0,0,100.0,Alta participação em votações
226553,Eliane Braz,PSD,CE,87,87,46,41,0,0,100.0,Alta participação em votações
103758,Luciano Azevedo,PSD,RS,376,376,230,146,0,0,100.0,Alta participação em votações
221339,Dr. Benjamim,UNIÃO,MA,451,451,289,162,0,0,100.0,Alta participação em votações
220705,Deltan Dallagnol,PODE,PR,80,80,43,37,0,0,100.0,Alta participação em votações
229069,Capitão Samuel,PP,SE,58,58,34,14,10,0,82.76,Alta participação em votações
229112,Pedro Jr,PL,TO,82,82,32,28,0,22,73.17,Participação moderada em votações
227991,Dr Flávio,PL,RJ,164,164,98,66,0,0,100.0,Alta participação em votações
74295,Inácio Arruda,PCDOB,CE,12,12,7,5,0,0,100.0,Alta participação em votações
204555,José Ricardo,PT,AM,421,421,237,166,0,18,95.72,Alta participação em votações
178908,Delegado Éder Mauro,PL,PA,1170,1169,622,502,1,44,96.15,Alta participação em votações
74141,Josias Gomes,PT,BA,1136,1135,675,452,1,7,99.3,Alta participação em votações
204383,Professor Israel Batista,PSB,DF,466,466,273,176,0,17,96.35,Alta participação em votações
204535,Sâmia Bomfim,PSOL,SP,1328,1328,648,626,25,29,95.93,Alta participação em votações
204354,Flávia Arruda,PL,DF,223,223,129,94,0,0,100.0,Alta participação em votações
178873,Helder Salomão,PT,ES,1629,1628,918,679,1,28,98.1,Alta participação em votações
135054,Cristiano Vale,PP,PA,369,369,211,158,0,0,100.0,Alta participação em votações
204498,Olival Marques,PODE,PA,1305,1304,764,539,1,0,99.92,Alta participação em votações
178966,Geovania De Sá,REPUBLICANOS,SC,1150,1149,638,488,5,1,98.0,Alta participação em votações
204456,Gutemberg Reis,MDB,RJ,1409,1408,909,497,1,1,99.86,Alta participação em votações
204382,Loester Trutis,PL,MS,339,339,194,139,6,0,98.23,Alta participação em votações
160532,Eli Corrêa Filho,UNIÃO,SP,451,451,252,199,0,0,100.0,Alta participação em votações
178836,Alan Rick,UNIÃO,AC,369,369,218,151,0,0,100.0,Alta participação em votações
204393,Frei Anastacio Ribeiro,PT,PB,456,456,249,178,0,29,93.64,Alta participação em votações
204467,Professora Rosa Neide,PT,MT,455,455,266,166,0,23,94.95,Alta participação em votações
160619,José Nunes,PSD,BA,199,199,121,78,0,0,100.0,Alta participação em votações
178876,Célio Silveira,MDB,GO,1163,1163,711,451,1,0,99.91,Alta participação em votações
73482,Henrique Fontana,PT,RS,440,440,243,172,1,24,94.32,Alta participação em votações
178961,Shéridan,PSDB,RR,271,271,154,117,0,0,100.0,Alta participação em votações
73801,Renildo Calheiros,PCDOB,PE,1423,1422,840,570,0,12,99.16,Alta participação em votações
178969,Fábio Mitidieri,PSD,SE,219,219,132,87,0,0,100.0,Alta participação em votações
204569,Delegado Pablo,UNIÃO,AM,342,342,195,147,0,0,100.0,Alta participação em votações
219585,Marco Brasil,PP,PR,612,612,366,245,1,0,99.84,Alta participação em votações
178882,André Fufuca,PP,MA,248,248,161,87,0,0,100.0,Alta participação em votações
69871,Bacelar,PV,BA,1537,1536,904,624,1,7,99.48,Alta participação em votações
204391,José Nelto,UNIÃO,GO,889,888,532,354,2,0,99.77,Alta participação em votações
161550,Emidinho Madeira,PL,MG,1073,1072,627,396,8,41,95.43,Alta participação em votações
204564,Igor Kannário,UNIÃO,BA,233,233,134,99,0,0,100.0,Alta participação em votações
204531,Guilherme Derrite,PP,SP,509,509,263,246,0,0,100.0,Alta participação em votações
141516,Paulo Abi-ackel,PSDB,MG,990,989,618,371,0,0,100.0,Alta participação em votações
204433,Marcelo Calero,PSD,RJ,356,356,235,121,0,0,100.0,Alta participação em votações
204386,Jose Mario Schreiner,MDB,GO,461,461,262,199,0,0,100.0,Alta participação em votações
141553,Vanderlei Macris,PSDB,SP,392,392,224,167,1,0,99.74,Alta participação em votações
160518,Weliton Prado,SOLIDARIEDADE,MG,1265,1264,762,478,24,0,98.1,Alta participação em votações
204563,Josimar Maranhãozinho,PL,MA,708,707,429,266,1,11,98.3,Alta participação em votações
141421,Eduardo Da Fonte,PP,PE,1267,1266,779,485,2,0,99.84,Alta participação em votações
171623,Fabio Reis,PSD,SE,835,835,507,327,0,1,99.88,Alta participação em votações
219592,Lucas Follador,PSC,RO,97,97,57,40,0,0,100.0,Alta participação em votações
133810,Marcelo Moraes,PL,RS,1166,1166,596,509,0,61,94.77,Alta participação em votações
204361,Carlos Chiodini,MDB,SC,671,671,437,232,0,2,99.7,Alta participação em votações
204536,Kim Kataguiri,MISSÃO,SP,1373,1372,676,689,6,1,99.49,Alta participação em votações
218879,Nelho Bezerra,UNIÃO,CE,216,216,123,93,0,0,100.0,Alta participação em votações
141398,Carlos Zarattini,PT,SP,1384,1383,814,541,2,26,97.98,Alta participação em votações
74044,Wilson Santiago,REPUBLICANOS,PB,1104,1103,686,416,0,0,99.91,Alta participação em votações
74043,Wellington Roberto,PSD,PB,910,910,521,334,0,55,93.96,Alta participação em votações
204560,Adolfo Viana,PSDB,BA,902,901,583,318,0,0,100.0,Alta participação em votações
204491,Gilberto Abramo,REPUBLICANOS,MG,1203,1202,749,453,0,0,100.0,Alta participação em votações
160534,Lauriete,PSC,ES,475,475,275,200,0,0,100.0,Alta participação em votações
204478,Vinicius Farah,UNIÃO,RJ,190,190,111,79,0,0,100.0,Alta participação em votações
178862,Tia Eron,REPUBLICANOS,BA,125,125,69,56,0,0,100.0,Alta participação em votações
204458,Major Fabiana,PL,RJ,384,384,209,175,0,0,100.0,Alta participação em votações
160542,Márcio Macêdo,PT,SE,233,233,139,86,1,7,96.57,Alta participação em votações
204426,Carlos Veras,PT,PE,1491,1490,842,582,1,22,95.57,Alta participação em votações
73586,Júlio Delgado,PV,MG,476,476,266,197,1,12,97.27,Alta participação em votações
178927,Aliel Machado,PV,PR,862,861,517,338,0,6,99.3,Alta participação em votações
217330,Pedro Dalua,PSC,AP,91,91,52,38,1,0,98.9,Alta participação em votações
204409,Daniel Trzeciak,PSDB,RS,1297,1296,731,564,0,1,99.92,Alta participação em votações
178881,Aluisio Mendes,REPUBLICANOS,MA,1352,1351,789,562,0,0,100.0,Alta participação em votações
204496,Celso Sabino,PDT,PA,423,423,269,154,0,0,100.0,Alta participação em votações
204370,Célio Moura,PT,TO,482,482,271,178,0,33,93.15,Alta participação em votações
204440,Christino Aureo,PP,RJ,424,424,236,188,0,0,100.0,Alta participação em votações
194260,Nivaldo Albuquerque,REPUBLICANOS,AL,273,273,166,107,0,0,100.0,Alta participação em votações
