evt_id_evento,evt_tx_descricao,evt_tx_situacao,evt_tx_tipo,evt_tx_situacao_curada,evt_tx_tipo_curado,evt_tx_local_interno,evt_tx_local_externo,evt_tx_tipo_local,evt_dt_inicio,evt_dt_fim,evt_nr_ano,evt_nr_mes,evt_nr_semana_ano,data_tx_ano_mes,org_id_orgao,org_sg_orgao,org_tx_nome,org_tx_tipo_curado
81343,"Milton Santos - 100 Anos De Pensamento Geográfico Crítico E Cidadão  Câmara Dos Deputados Centro De Estudos E Debates Estratégicos Bancada Negra Da Câmara Dos Deputados Coordenação Edições Câmara Dos Deputados 57ª Legislatura - 4ª Sessão Legislativa Ordinária Seminário Milton Santos - 100 Anos De Pensamento Geográfico Crítico E Cidadão Local: Auditório Nereu Ramos    Data: 19/05/26    Horário: 9h00 Às 14h00 Participe Presencial Ou Online!!! Zoom: Https://us02web.zoom.us/j/83958993120 Id Webinar: 839 5899 3120 Transmissão Ao Vivo Pelo Youtube: Http://cd.leg.br/youtube P A U T A No Ano Em Que Se Celebra O Centenário De Nascimento De Milton Santos (1926-2001), Este Seminário Propõe Um Diálogo Entre Memória E Futuro, Entre A Trajetória De Um Dos Maiores Pensadores Do Século Xx E A Permanente Atualidade De Suas Formulações. Milton Santos Revolucionou A Geografia Brasileira Ao Colocar O Espaço No Centro Do Pensamento Social, Evidenciando Que O Território Não É Apenas Palco Das Relações Sociais, Mas Produto E Agente Dessas Relações. Articulando Rigor Acadêmico E Intervenção Pública, Sua Obra Atravessou Fronteiras Disciplinares, Dialogou Com Movimentos Sociais E Inspirou Uma Geografia Cidadã, Comprometida Com A Democracia, A Justiça Social E A Soberania Dos Povos.  Este Encontro Na Câmara Dos Deputados, Sede Do Poder Legislativo Brasileiro, Reafirma O Compromisso De Milton Santos Com A Dimensão Pública Do Conhecimento E Com O Papel Político Do Intelectual. Em Duas Mesas De Debate, Buscaremos Não Apenas Honrar Sua Memória, Mas Principalmente Interrogar: O Que O Pensamento Miltoniano Nos Ensina Sobre Os Desafios Do Presente? Como Suas Categorias Analíticas Nos Ajudam A Compreender O Meio Técnico-científico-informacional Contemporâneo, A Aceleração Contemporânea, As Desigualdades Socioespaciais E A Busca Por Uma Outra Globalização? Ao Reunir Pesquisadoras E Pesquisadores Que Conheceram Milton Santos Pessoalmente E Aqueles Que Seguem Desenvolvendo E Atualizando Seu Pensamento, Este Seminário Pretende Contribuir Para Que Seu Legado Continue Vivo, Inspirando Novas Gerações Na Construção De Um Pensamento Social Brasileiro Crítico, Criativo E Comprometido Com A Transformação Social. Revisitar Milton Santos É Também Recolocar O Território No Centro Do Debate Político Nacional. Suas Formulações Sobre O Uso Desigual Do Território, A Cidadania Incompleta, O Papel Do Estado E A Possibilidade De Uma Outra Globalização Seguem Oferecendo Ferramentas Fundamentais Para Pensar Políticas Públicas, Planejamento, Direitos E Participação Social No Brasil. Realizado Por Iniciativa Do Mandato Do Deputado Federal Orlando Silva, Representando A Bancada Negra, E Em Parceria Com O Centro De Estudos E Debates Estratégicos (cedes), O Evento Inscreve O Legado De Milton Santos No Espaço Institucional Da Política Democrática, Reafirmando-o Como Um Intelectual Público Cuja Obra Permanece Viva, Insurgente E Necessária. Programação Do Seminário 9h - 10h - Abertura -  Deputado Hugo Motta, Presidente Da Câmara Dos Deputados -  Deputado Orlando Silva,  1º Vice-coordenador Da Bancada Negra Da Câmara Dos Deputados -  Deputado Márcio Jerry, Presidente Do Centro De Estudos E Debates Estratégicos Da Câmara Dos             Deputados -   Nina Dos Santos, Secretária Adjunta De Políticas Digitais Na Secretaria De Comunicação Da       Presidência Da República E Neta De Milton Santos 10h - 12h - Mesa \" Milton Santos: Pensar O Brasil, Compreender O Mundo E Construir Um Outro Mundo Possível \" - Coordenação E Mediação: Orlando Silva -  Jaime Tadeu Oliva, Professor Do Instituto De Estudos Brasileiros Da Universidade De São Paulo         (ieb-usp) -  Maria Mónica Arroy, Professora De Geografia Da Universidade De São Paulo -  Maurício Costa De Carvalho, Professor Do Instituto Federal De São Paulo (ifsp)  -  Antonio Carlos Malachias (billy Malachias), Pesquisador Do Laboratório De Geografia Política Da        Universidade De São Paulo (geopo/usp) -  Aldo Paviani, Professor Emérito Da Universidade De Brasília (unb)  12h - 13h - Lançamento Da Publicação \"milton Santos No Território Da Democracia: Contribuições Ao Parlamento Brasileiro\" 13h00 - 14h00 - Coquetel",Convocada,Seminário,Convocado,Seminário,Auditório Nereu Ramos,,Câmara,2026-05-19,,2026,5,21,2026-05,537020,CEDES,Centro De Estudos E Debates Estratégicos,Conselho
81806,Homenagem Aos 54 De Colonização Na Região Transamazônica,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-07-07,,2026,7,28,2026-07,180,PLEN,Plenário,Plenário
81814,Homenagem Aos 65 Anos Do Movimento De Educação De Base – Meb,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-18,,2026,6,25,2026-06,180,PLEN,Plenário,Plenário
81496,Homenagem Aos 400 Anos Das Missões Jesuíticas-guarani,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-20,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
81597,Homenagem Aos 48 Anos Da Associação Brasileira Das Entidades Fechadas De Previdência Complementar – Abrapp,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-15,,2026,5,20,2026-05,180,PLEN,Plenário,Plenário
81890,"Polilaminina Como Tratamento Na Regeneração Da Medula Espinhal   Req. 17/2026 Csaude, Do Deputado Zé Vitor Req. 18/2026 Csaude, Do Deputado Diego Garcia Convidados(as) A Confirmar: - Tatiana Lobo Coelho De Sampaio (ufrj) - Representante Do Laboratório Cristalia - Bruno Drummond De Freitas (paciente) - Representante Do Ministério Da Saúde - Representante Da Anvisa",Convocada,Audiência Pública,Convocado,Audiência Pública,"Anexo Ii, Plenário 07",,Câmara,2026-06-02,,2026,6,23,2026-06,2014,CSAUDE,Comissão De Saúde,Comissão
81598,Homenagem Ao Dia Nacional Da Luta Antimanicomial,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-18,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
81400,"Seminário Equilíbrio Entre Os Poderes: Tensões Atuais E Caminhos Para A Harmonia Institucional  Câmara Dos Deputados Centro De Estudos E Debates Estratégicos 57ª Legislatura - 4ª Sessão Legislativa Ordinária Seminário Equilíbrio Entre Os Poderes: Tensões Atuais E Caminhos Para A Harmonia Institucional Local: Auditório Nereu Ramos    Data: 17/06/26    Horário: 9h00 Às 13h00 P A U T A O Centro De Estudos E Debates Estratégicos Da Câmara Dos Deputados Tem A Satisfação De Convidar Vossa Senhoria Para O Seminário \"equilíbrio Entre Os Poderes: Tensões Atuais E Caminhos Para A Harmonia Institucional\", Que Será Realizado No Dia 17 De Junho, Às 9h, No Auditório Nereu Ramos, Na Câmara Dos Deputados, Em Brasília.  A Separação De Poderes Constitui Um Dos Pilares Fundamentais Do Estado Democrático De Direito, Garantindo O Equilíbrio Institucional, A Limitação Do Poder E A Proteção Dos Direitos Fundamentais Dos Cidadãos. Em Um Contexto De Transformações Políticas, Sociais E Tecnológicas Que Desafiam Constantemente Os Limites E As Atribuições Dos Poderes Executivo, Legislativo E Judiciário, Torna-se Imperativo Promover Reflexões Aprofundadas Sobre Os Mecanismos De Controle Recíproco, As Tensões Institucionais Contemporâneas E Os Caminhos Para O Fortalecimento Da Harmonia Entre Os Poderes. O Evento Reunirá Renomados Constitucionalistas, Magistrados, Parlamentares, Membros Do Ministério Público, Acadêmicos E Representantes Da Sociedade Civil Para Debater Temas Essenciais Como Os Limites Da Atuação De Cada Poder, O Fenômeno Da Judicialização Da Política, O Ativismo Judicial, As Relações Entre Executivo E Legislativo No Presidencialismo De Coalizão Brasileiro, Além Dos Desafios Impostos Pela Era Digital À Governança Democrática. O Seminário Representa Uma Oportunidade Ímpar Para O Intercâmbio De Experiências E Perspectivas Sobre A Aplicação Prática Do Princípio Da Separação De Poderes No Brasil Contemporâneo, Contribuindo Para O Aperfeiçoamento Institucional E O Fortalecimento Da Democracia Brasileira.  Contamos Com Sua Presença E Valiosa Contribuição Para Este Importante Debate Sobre Os Alicerces Da Nossa República. Data: 17 De Junho Mesa De Abertura: 9h - 10h - Deputado Hugo Motta - Presidente Da Câmara Dos Deputados - Deputado Márcio Jerry - Presidente Do Centro De Estudos E Debates Estratégicos - Senador Davi Alcolumbre - Presidente Do Senado Federal - Ministro Edson Fachin - Presidente Do Supremo Tribunal Federal - Ministro Wellington César Lima E Silva, Ministro Da Justiça  10h - 12h - Mesa De Debates  - Coordenação E Mediação: Deputado Márcio Jerry -  Martonio Mont'alverne, Professor Titular Da Universidade De Fortaleza E Procurador Da Procuradoria     Geral Do Município De Fortaleza -  Lara Mesquita, Professora Da Escola De Economia De São Paulo Da Fundação Getulio Vargas -fgv       Eesp -  Felipe Recondo, Jornalista, Pesquisador E Escritor, Especializado Em Informações Jurídicas E               Legislativas  12h - 13h - Coquetel De Encerramento",Convocada,Seminário,Convocado,Seminário,Auditório Nereu Ramos,,Câmara,2026-06-17,,2026,6,25,2026-06,537020,CEDES,Centro De Estudos E Debates Estratégicos,Conselho
81860,"Irrigação, Abastecimento E Gestão De Recursos Hídricos Em Minas Gerais  (req 18/2026 Cmads, Do Deputado Zé Vitor) Convidados:  Giuseppe Serra Seca Vieira Secretário Nacional De Segurança Hídrica Do Ministério Da Integração E Desenvolvimento Regional - Snsh Thales Almeida Pereira Fernandes Secretário De Agricultura, Pecuária E Abastecimento De Minas Gerais - Seapa Marília Carvalho De Melo Companhia De Saneamento De Minas Gerais - Copasa Lysandro Norton Siqueira Secretario De Meio Ambiente E Desenvolvimento Sustentável De Minas Gerais - Semad Marcelo Da Fonseca Diretor-geral Do Instituto Mineiro De Gestão Das Águas - Igam Lucas Vieira Lopes Presidente Da Associação Mineira De Municípios - Amn Antônio Pitangui De Salvo Presidente Da Federação Da Agricultura E Pecuária Do Estado De Minas Gerais - Faemg Representante Associação De Irrigantes De Minas Gerais",Convocada,Seminário,Convocado,Seminário,,"Monteccer - Av. Olegário Maciel, 629 - Monte Carmelo - Mg",Externo,2026-05-18,,2026,5,21,2026-05,6174,CMADS,Comissão De Meio Ambiente E Desenvolvimento Sustentável,Comissão
81918,"Homenagem Às Vítimas Do Acidente Aéreo Da Associação Chapecoense De Futebol E Em Celebração À Vida E Superação Dos Sobreviventes Brasileiros, No Marco De Dez Anos Da Tragédia  Homenagem Às Às Vítimas Do Acidente Aéreo Da Associação Chapecoense De Futebol E Em Celebração À Vida E Superação Dos Sobreviventes Brasileiros, No Marco De Dez Anos Da Tragédia",Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-28,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
