evt_nr_ano,evt_nr_semana_ano,qt_eventos,qt_orgaos,qt_audiencias_publicas,qt_reunioes,qt_sessoes,evento_tx_nivel_atividade
2026,5,1,1,0,0,0,Baixa atividade
2026,23,1,1,1,0,0,Baixa atividade
2026,14,4,4,2,0,1,Baixa atividade
2025,42,115,46,43,39,12,Alta atividade
2025,47,40,25,11,20,5,Alta atividade
2023,15,71,37,17,41,6,Alta atividade
2023,39,100,50,31,44,7,Alta atividade
2023,48,119,43,35,51,9,Alta atividade
2023,50,121,43,43,52,11,Alta atividade
2023,30,3,1,0,0,0,Baixa atividade
2024,23,104,46,37,45,7,Alta atividade
2024,22,50,30,16,21,7,Alta atividade
2024,16,73,36,22,36,5,Alta atividade
2022,51,25,10,3,15,6,Alta atividade
2026,10,56,31,5,38,7,Alta atividade
