part_sg_partido,desp_tx_segmento_despesa,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_liquido,part_vl_medio_liquido,part_vl_max_liquido,part_vl_total_geral,part_pc_segmento,part_nr_ranking_segmento,part_tx_relevancia_segmento
MDB,Viagens,70,70,11986,16,14014485.70,859.099228,28730.80,75609877.43,18.54,2,Categoria relevante
MDB,Locomoção,66,66,2079,130,13742866.90,6607.147548,85000.00,75609877.43,18.18,3,Categoria relevante
MDB,Outros,72,72,7961,439,7914816.42,916.384904,16800.00,75609877.43,10.47,4,Categoria complementar
MDB,Combustível,72,72,18897,3714,5713781.48,302.364475,9300.00,75609877.43,7.56,5,Categoria complementar
MDB,Serviços profissionais,22,22,112,32,1534309.78,13699.194464,60000.00,75609877.43,2.03,6,Categoria complementar
MDB,Comunicação,75,75,1612,36,999288.18,211.938108,3202.01,75609877.43,1.32,7,Categoria complementar
MDB,Hotéis,49,49,2542,719,971928.88,382.348104,11231.20,75609877.43,1.29,8,Categoria complementar
MDB,Alimentação,35,35,3137,987,218477.31,69.645301,829.00,75609877.43,0.29,9,Categoria complementar
MISSÃO,Viagens,1,1,406,0,456348.99,977.192698,3945.28,546164.93,83.56,1,Principal categoria de gasto
MISSÃO,Outros,1,1,81,4,89787.84,1108.491852,7216.27,546164.93,16.44,2,Categoria relevante
MISSÃO,Comunicação,1,1,1,1,28.10,0.936667,3.31,546164.93,0.01,3,Categoria relevante
NOVO,Publicidade,9,9,593,58,1841890.56,3106.054907,46890.00,5990644.99,30.75,1,Principal categoria de gasto
NOVO,Viagens,10,10,1768,8,1498579.77,624.929012,22439.10,5990644.99,25.02,2,Categoria relevante
NOVO,Outros,10,10,2476,122,982249.58,395.908738,7096.42,5990644.99,16.40,3,Categoria relevante
NOVO,Locomoção,7,7,177,18,645604.60,3626.992135,9800.00,5990644.99,10.78,4,Categoria complementar
NOVO,Combustível,8,8,1795,633,452011.43,251.816953,1550.49,5990644.99,7.55,5,Categoria complementar
NOVO,Serviços profissionais,6,6,59,8,407198.91,6901.676441,18500.00,5990644.99,6.80,6,Categoria complementar
NOVO,Hotéis,8,8,170,96,100010.02,588.294235,9352.37,5990644.99,1.67,7,Categoria complementar
NOVO,Comunicação,10,10,247,6,62311.58,125.628185,598.97,5990644.99,1.04,8,Categoria complementar
NOVO,Alimentação,3,3,10,2,788.54,78.854000,93.66,5990644.99,0.01,9,Categoria complementar
PATRIOTA,Serviços profissionais,4,4,60,6,758400.00,12640.000000,29700.00,2412166.43,31.44,1,Principal categoria de gasto
PATRIOTA,Publicidade,5,5,105,29,450766.24,4293.011810,39952.80,2412166.43,18.69,2,Categoria relevante
PATRIOTA,Viagens,4,4,322,3,427046.85,1064.954738,6063.05,2412166.43,17.70,3,Categoria relevante
PATRIOTA,Outros,5,5,423,58,370062.37,766.174679,8000.00,2412166.43,15.34,4,Categoria complementar
PATRIOTA,Combustível,5,5,497,200,179158.63,360.480141,4947.17,2412166.43,7.43,5,Categoria complementar
PATRIOTA,Locomoção,3,3,49,6,172088.66,3512.013469,8100.00,2412166.43,7.13,6,Categoria complementar
PATRIOTA,Comunicação,5,5,76,10,23356.02,166.828714,751.10,2412166.43,0.97,7,Categoria complementar
PATRIOTA,Hotéis,5,5,47,21,20016.16,425.875745,1258.95,2412166.43,0.83,8,Categoria complementar
PATRIOTA,Alimentação,2,2,231,29,11271.50,48.794372,131.04,2412166.43,0.47,9,Categoria complementar
PCDOB,Publicidade,12,12,1215,141,6705944.24,5519.295671,69920.00,17261317.14,38.85,1,Principal categoria de gasto
PCDOB,Viagens,12,12,2657,9,3131770.81,913.852002,7638.54,17261317.14,18.14,2,Categoria relevante
PCDOB,Outros,11,11,2393,145,2941486.57,1167.256575,12000.00,17261317.14,17.04,3,Categoria relevante
PCDOB,Locomoção,12,12,461,32,2392350.23,5189.479892,13500.00,17261317.14,13.86,4,Categoria complementar
PCDOB,Combustível,12,12,3836,850,1342461.41,349.963871,9300.00,17261317.14,7.78,5,Categoria complementar
PCDOB,Serviços profissionais,5,5,26,7,328401.00,12630.807692,38181.00,17261317.14,1.90,6,Categoria complementar
PCDOB,Comunicação,12,12,435,24,277593.05,213.368985,1833.90,17261317.14,1.61,7,Categoria complementar
PCDOB,Hotéis,9,9,274,93,137671.48,502.450657,8606.75,17261317.14,0.80,8,Categoria complementar
PCDOB,Alimentação,6,6,47,23,3638.35,77.411702,155.00,17261317.14,0.02,9,Categoria complementar
PDT,Publicidade,27,27,1886,258,11232491.60,5952.565766,103500.00,27144671.17,41.38,1,Principal categoria de gasto
PDT,Viagens,26,26,4511,10,5383104.99,907.010108,10277.80,27144671.17,19.83,2,Categoria relevante
PDT,Locomoção,24,24,820,56,4475301.67,5451.037357,16487.70,27144671.17,16.49,3,Categoria relevante
PDT,Outros,27,27,2728,148,3128044.34,1010.676685,13000.00,27144671.17,11.52,4,Categoria complementar
