part_sg_partido,desp_tx_segmento_despesa,desp_tx_tipo_despesa,data_nr_ano,data_tx_ano_mes,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_documento,part_vl_total_glosa,part_vl_total_liquido,part_vl_medio_liquido,part_pc_participacao_segmento
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2024,2024-11,4,4,13,12,64669.88,0.00,64669.88,4974.606154,22.92
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2024,2024-11,1,1,1,1,318.00,0.00,318.00,318.000000,0.11
AVANTE,Alimentação,Fornecimento De Alimentação Do Parlamentar,2024,2024-12,1,1,11,5,380.22,0.00,380.22,34.565455,0.13
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2024,2024-12,4,4,5,5,38080.00,0.00,38080.00,7616.000000,12.59
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2024,2024-12,1,1,3,2,650.00,0.00,650.00,216.666667,0.21
AVANTE,Viagens,Passagem Aérea - Sigepa,2024,2024-12,6,6,58,0,50192.56,0.00,50192.56,557.695111,16.60
AVANTE,Combustível,Combustíveis E Lubrificantes.,2024,2024-12,5,5,69,35,26734.39,0.00,26734.39,387.454928,8.84
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2024,2024-12,5,5,28,19,163432.79,0.00,157533.28,5626.188571,52.09
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2024,2024-12,5,5,15,10,22640.41,109.22,22531.19,1502.079333,7.45
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2024,2024-12,2,2,33,9,759.21,0.00,759.21,23.006364,0.25
AVANTE,Viagens,Passagem Aérea - Rpa,2024,2024-12,1,1,1,1,2115.85,0.00,2115.85,2115.850000,0.70
AVANTE,Comunicação,Telefonia,2024,2024-12,5,5,8,4,3957.27,512.06,3445.21,430.651250,1.14
AVANTE,Combustível,Combustíveis E Lubrificantes.,2025,2025-01,5,5,61,33,34664.35,1645.80,33018.55,541.287705,13.48
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2025,2025-01,1,1,1,1,549.99,0.00,549.99,549.990000,0.22
AVANTE,Comunicação,Telefonia,2025,2025-01,4,4,7,4,4218.13,496.08,3722.05,531.721429,1.52
AVANTE,Alimentação,Fornecimento De Alimentação Do Parlamentar,2025,2025-01,1,1,4,4,209.47,2.00,207.47,51.867500,0.08
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2025,2025-01,5,5,16,14,43758.40,102.70,43655.70,2728.481250,17.82
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2025,2025-01,6,6,12,7,94280.00,4574.00,84489.57,7040.797500,34.49
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2025,2025-01,1,1,7,3,564.63,0.00,564.63,80.661429,0.23
AVANTE,Viagens,Passagem Aérea - Sigepa,2025,2025-01,6,6,22,0,21146.99,0.00,21146.99,660.843438,8.63
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2025,2025-01,5,5,7,7,54542.10,0.00,54542.10,7791.728571,22.27
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2025,2025-01,1,1,12,6,3053.00,0.00,3053.00,254.416667,1.25
AVANTE,Viagens,Passagem Aérea - Sigepa,2025,2025-02,6,6,62,0,60589.16,0.00,60589.16,680.777079,19.67
