id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_documentos,qt_documentos_comprovados,qt_glosas,qt_restituicoes,pc_documentacao
204371,Felipe Rigoni,UNIÃO,ES,647,485,33,0,74.96
204541,Eduardo Bismarck,PV,CE,1255,965,30,10,76.89
220543,Ricardo Ayres,REPUBLICANOS,TO,1636,1374,79,0,83.99
220712,Fausto Jr.,UNIÃO,AM,591,362,16,0,61.25
198197,Greyce Elias,PL,MG,3213,2684,276,0,83.54
178829,Capitão Augusto,PL,SP,2590,2380,213,0,91.89
160673,Giovani Cherini,PL,RS,3193,2909,133,1,91.11
220644,Rosangela Moro,PL,SP,987,584,32,0,59.17
98615,Ismael,PL,SC,1691,1353,52,0,80.01
178985,Miguel Lombardi,PL,SP,1945,1694,143,1,87.1
178863,Uldurico Junior,MDB,BA,215,27,0,0,12.56
204498,Olival Marques,PODE,PA,571,138,2,0,24.17
204575,Gil Cutrim,REPUBLICANOS,MA,123,72,1,0,58.54
178901,Tereza Cristina,PP,MS,189,100,7,0,52.91
74084,Raimundo Santos,PSD,PA,806,462,117,0,57.32
220661,Matheus Noronha,PL,CE,616,244,22,0,39.61
67138,Iracema Portella,PP,PI,80,10,3,0,12.5
204454,Daniel Silveira,PTB,RJ,727,576,38,1,79.23
204478,Vinicius Farah,UNIÃO,RJ,225,157,3,0,69.78
204431,Marcos Aurélio Sampaio,MDB,PI,471,318,4,0,67.52
215043,Josivaldo Jp,UNIÃO,MA,991,602,12,0,60.75
220602,Dimas Gadelha,PT,RJ,389,244,44,0,62.72
74383,Giacobo,PSD,PR,376,116,8,0,30.85
204487,Capitão Wagner,UNIÃO,CE,262,156,6,0,59.54
160587,Fábio Trad,PSD,MS,161,116,4,0,72.05
220676,Andreia Siqueira,PSB,PA,490,341,6,0,69.59
220640,Juliana Cardoso,PT,SP,1945,1712,81,1,88.02
152605,Glauber Braga,PSOL,RJ,2844,2335,115,0,82.1
160542,Márcio Macêdo,PT,SE,226,140,5,0,61.95
