id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_ausencias,pc_ausencia,ranking_ausencias
220682,Tadeu Veneri,PT,PR,953,1,0.1,207
74858,Lindbergh Farias,PT,RJ,1014,1,0.1,208
178997,Moses Rodrigues,UNIÃO,CE,1036,1,0.1,209
220686,Duarte Jr.,PSB,MA,1005,1,0.1,210
220553,Denise Pessôa,PT,RS,973,1,0.1,211
220619,Delegado Ramagem,PL,RJ,1044,1,0.1,212
220653,Fábio Teruel,MDB,SP,965,1,0.1,213
73768,Dilceu Sperafico,PP,PR,1021,1,0.1,214
220536,Zé Haroldo Cathedral,PSD,RR,1042,1,0.1,215
220608,Cristiane Lopes,UNIÃO,RO,971,1,0.1,216
220667,Pedro Campos,PSB,PE,1020,1,0.1,217
220527,Jack Rocha,PT,ES,1040,1,0.1,218
137070,Vicentinho Júnior,PP,TO,990,1,0.1,219
204379,Acácio Favacho,MDB,AP,1011,1,0.1,220
204506,Marcos Pereira,REPUBLICANOS,SP,1020,1,0.1,221
160600,Arthur Oliveira Maia,UNIÃO,BA,985,1,0.1,222
220550,Mauricio Marcon,PODE,RS,1039,1,0.1,223
220611,General Pazuello,PL,RJ,1012,1,0.1,224
161440,Pezenti,MDB,SC,995,1,0.1,225
220701,Delegado Matheus Laiola,UNIÃO,PR,1044,1,0.1,226
220696,Ivoneide Caetano,PT,BA,964,1,0.1,227
74554,José Rocha,UNIÃO,BA,1049,1,0.1,228
220590,Coronel Ulysses,UNIÃO,AC,969,1,0.1,229
220668,Maria Arraes,SOLIDARIEDADE,PE,1034,1,0.1,230
220714,Adail Filho,REPUBLICANOS,AM,984,1,0.1,231
220599,Marcelo Crivella,REPUBLICANOS,RJ,997,1,0.1,232
220656,Fernanda Pessoa,UNIÃO,CE,994,1,0.1,233
160548,Jonas Donizette,PSB,SP,978,1,0.1,234
122974,Pedro Lucas Fernandes,UNIÃO,MA,1023,1,0.1,235
161550,Emidinho Madeira,PL,MG,974,1,0.1,236
220688,Dr. Francisco,PT,PI,984,1,0.1,237
220568,Gustavo Gayer,PL,GO,961,1,0.1,238
220558,Zé Trovão,PL,SC,985,1,0.1,239
220545,Filipe Martins,PL,TO,1001,1,0.1,240
74084,Raimundo Santos,PSD,PA,1026,1,0.1,241
178934,Toninho Wandscheer,PP,PR,1009,1,0.1,242
74044,Wilson Santiago,REPUBLICANOS,PB,1033,1,0.1,243
218086,Ely Santos,REPUBLICANOS,SP,1000,1,0.1,244
74856,Laura Carneiro,PSD,RJ,1048,1,0.1,245
220559,Julia Zanatta,PL,SC,1029,1,0.1,246
220533,Prof. Reginaldo Veras,PV,DF,973,1,0.1,247
220691,Diego Coronel,PSD,BA,1018,1,0.1,248
220671,Dilvanda Faro,PT,PA,996,1,0.1,249
220662,Lucas Ramos,PSB,PE,991,1,0.1,250
204549,Aj Albuquerque,PP,CE,1156,1,0.09,251
204431,Marcos Aurélio Sampaio,PSD,PI,1151,1,0.09,252
74317,Júlio Cesar,PSD,PI,1134,1,0.09,253
220598,Tarcísio Motta,PSOL,RJ,1110,1,0.09,254
74171,Chico Alencar,PSOL,RJ,1151,1,0.09,255
220595,Coronel Fernanda,PL,MT,1079,1,0.09,256
220612,Bebeto,PP,RJ,1075,1,0.09,257
91228,Waldemar Oliveira,AVANTE,PE,1171,1,0.09,258
204489,Robério Monteiro,PDT,CE,1105,1,0.09,259
220583,Delegado Fabio Costa,PP,AL,1085,1,0.09,260
178966,Geovania De Sá,PSDB,SC,1149,1,0.09,261
141450,Hugo Leal,PSD,RJ,1131,1,0.09,262
136811,Afonso Hamm,PP,RS,1142,1,0.09,263
178908,Delegado Éder Mauro,PL,PA,1106,1,0.09,264
141431,Fernando Coelho Filho,UNIÃO,PE,1122,1,0.09,265
74371,Rubens Otoni,PT,GO,1084,1,0.09,266
73701,Benedita Da Silva,PT,RJ,1118,1,0.09,267
220690,Capitão Alden,PL,BA,1067,1,0.09,268
220529,Gilson Daniel,PODE,ES,1100,1,0.09,269
160517,Paulo Folletto,PSB,ES,1075,1,0.09,270
178860,Paulo Azi,UNIÃO,BA,1086,1,0.09,271
178895,Misael Varella,PSD,MG,1144,1,0.09,272
220546,Rodolfo Nogueira,PL,MS,1075,1,0.09,273
123086,Átila Lira,PP,PI,1066,1,0.09,274
220571,Daniel Agrobom,PL,GO,1065,1,0.09,275
198197,Greyce Elias,AVANTE,MG,1053,1,0.09,276
141391,Arnaldo Jardim,CIDADANIA,SP,1091,1,0.09,277
204390,Professor Alcides,PL,GO,1148,1,0.09,278
220652,Delegado Palumbo,MDB,SP,1065,1,0.09,279
74158,Mário Heringer,PDT,MG,1165,1,0.09,280
160632,Zé Silva,SOLIDARIEDADE,MG,1154,1,0.09,281
157130,Túlio Gadêlha,REDE,PE,1144,1,0.09,282
74141,Josias Gomes,PT,BA,1136,1,0.09,283
204539,Hercílio Coelho Diniz,MDB,MG,1076,1,0.09,284
226179,Gisela Simona,UNIÃO,MT,1147,1,0.09,285
179001,Márcio Biolchi,MDB,RS,1126,1,0.09,286
92102,Leur Lomanto Júnior,UNIÃO,BA,1057,1,0.09,287
178843,Marx Beltrão,PP,AL,1073,1,0.09,288
220621,Sargento Gonçalves,PL,RN,1068,1,0.09,289
220547,Marcos Pollon,PL,MS,1171,1,0.09,290
204474,Juarez Costa,MDB,MT,1155,1,0.09,291
204358,Beto Pereira,PSDB,MS,1159,1,0.09,292
141464,José Airton Félix Cirilo,PT,CE,1117,1,0.09,293
220574,Cabo Gilberto Silva,PL,PB,1081,1,0.09,294
220539,Defensor Stélio Dener,REPUBLICANOS,RR,1063,1,0.09,295
220578,Josenildo,PDT,AP,1059,1,0.09,296
220666,Coronel Meira,PL,PE,1109,1,0.09,297
178993,Carlos Henrique Gaguim,UNIÃO,TO,1287,1,0.08,298
74273,Jefferson Campos,PL,SP,1312,1,0.08,299
141421,Eduardo Da Fonte,PP,PE,1267,1,0.08,300
204409,Daniel Trzeciak,PSDB,RS,1297,1,0.08,301
178933,Sergio Souza,MDB,PR,1254,1,0.08,302
152605,Glauber Braga,PSOL,RJ,1263,1,0.08,303
204573,Otto Alencar Filho,PSD,BA,1236,1,0.08,304
160642,Pastor Eurico,PL,PE,1220,1,0.08,305
178857,Jorge Solla,PT,BA,1281,1,0.08,306
178992,Vitor Lippi,PSDB,SP,1264,1,0.08,307
150418,Márcio Marinho,REPUBLICANOS,BA,1206,1,0.08,308
204520,Junio Amaral,PL,MG,1228,1,0.08,309
204536,Kim Kataguiri,UNIÃO,SP,1285,1,0.08,310
204355,Da Vitoria,PP,ES,1320,1,0.08,311
220588,Roberto Duarte,REPUBLICANOS,AC,1286,1,0.08,312
178866,Luizianne Lins,PT,CE,1265,1,0.08,313
204559,Zé Neto,PT,BA,1177,1,0.08,314
178931,Luciano Ducci,PSB,PR,1313,1,0.08,315
160598,Flávia Morais,PDT,GO,1199,1,0.08,316
160592,Zeca Dirceu,PT,PR,1292,1,0.08,317
178946,Soraya Santos,PL,RJ,1245,1,0.08,318
220543,Ricardo Ayres,REPUBLICANOS,TO,1225,1,0.08,319
204378,Coronel Chrisóstomo,PL,RO,1333,1,0.08,320
81055,Márcio Jerry,PCDOB,MA,1252,1,0.08,321
204351,Dr. Luiz Ovando,PP,MS,1271,1,0.08,322
72442,Felipe Carreras,PSB,PE,1238,1,0.08,323
204408,Gustinho Ribeiro,REPUBLICANOS,SE,1245,1,0.08,324
74299,Leônidas Cristino,PDT,CE,1203,1,0.08,325
74398,Maria Do Rosário,PT,RS,1249,1,0.08,326
178970,João Daniel,PT,SE,1265,1,0.08,327
209189,Joseildo Ramos,PT,BA,1290,1,0.08,328
178987,Orlando Silva,PCDOB,SP,1331,1,0.08,329
220654,Delegado Paulo Bilynskyj,PL,SP,1212,1,0.08,330
74156,Leonardo Monteiro,PT,MG,1306,1,0.08,331
204497,Júnior Ferrari,PSD,PA,1317,1,0.08,332
160758,Domingos Sávio,PL,MG,1215,1,0.08,333
204495,Airton Faleiro,PT,PA,1291,1,0.08,334
160599,Dimas Fabiano,PP,MG,1320,1,0.08,335
204491,Gilberto Abramo,REPUBLICANOS,MG,1203,1,0.08,336
204481,Dr. Jaziel,PL,CE,1235,1,0.08,337
160569,Waldenor Pereira,PT,BA,1201,1,0.08,338
204473,General Girão,PL,RN,1293,1,0.08,339
74537,Claudio Cajado,PP,BA,1319,1,0.08,340
178858,Mário Negromonte Jr.,PP,BA,1214,1,0.08,341
178963,Covatti Filho,PP,RS,1283,1,0.08,342
109429,Benes Leocádio,UNIÃO,RN,1332,1,0.08,343
74574,Paulo Magalhães,PSD,BA,1276,1,0.08,344
204367,Daniel Freitas,PL,SC,1289,1,0.08,345
204526,Luiz Philippe De Orleans E Bragança,PL,SP,1232,1,0.08,346
141411,Dagoberto Nogueira,PSDB,MS,1264,1,0.08,347
160559,Alceu Moreira,MDB,RS,1246,1,0.08,348
204472,José Medeiros,PL,MT,1257,1,0.08,349
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,1201,1,0.08,350
204515,André Janones,AVANTE,MG,1284,1,0.08,351
73441,Celso Russomanno,REPUBLICANOS,SP,1202,1,0.08,352
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,1179,1,0.08,353
204557,Sidney Leite,PSD,AM,1196,1,0.08,354
66828,Fausto Pinato,PP,SP,1280,1,0.08,355
204498,Olival Marques,MDB,PA,1177,1,0.08,356
160665,Augusto Coutinho,REPUBLICANOS,PE,1268,1,0.08,357
74041,Luiz Couto,PT,PB,1288,1,0.08,358
204398,Felipe Francischini,UNIÃO,PR,1410,1,0.07,359
133439,André Figueiredo,PDT,CE,1357,1,0.07,360
204479,Nicoletti,UNIÃO,RR,1336,1,0.07,361
73531,Ivan Valente,PSOL,SP,1412,1,0.07,362
204368,Fabio Schiochet,UNIÃO,SC,1385,1,0.07,363
204528,Adriana Ventura,NOVO,SP,1514,1,0.07,364
73801,Renildo Calheiros,PCDOB,PE,1423,1,0.07,365
73604,Rui Falcão,PT,SP,1454,1,0.07,366
141398,Carlos Zarattini,PT,SP,1384,1,0.07,367
73486,Pompeo De Mattos,PDT,RS,1413,1,0.07,368
178985,Miguel Lombardi,PL,SP,1449,1,0.07,369
204422,Ossesio Silva,REPUBLICANOS,PE,1336,1,0.07,370
160604,Pedro Uczai,PT,SC,1339,1,0.07,371
178986,Nilto Tatto,PT,SP,1492,1,0.07,372
178910,Joaquim Passarinho,PL,PA,1379,1,0.07,373
74283,Vicentinho,PT,SP,1369,1,0.07,374
178929,Diego Garcia,REPUBLICANOS,PR,1338,1,0.07,375
204388,Bibo Nunes,PL,RS,1434,1,0.07,376
204453,Natália Bonavides,PT,RN,1346,1,0.07,377
204407,Fernanda Melchionna,PSOL,RS,1394,1,0.07,378
204460,Carlos Jordy,PL,RJ,1362,1,0.07,379
74848,Jandira Feghali,PCDOB,RJ,1501,1,0.07,380
160601,Pr. Marco Feliciano,PL,SP,1444,1,0.07,381
171617,Paulão,PT,AL,1392,1,0.07,382
191923,Flávio Nogueira,PT,PI,1486,1,0.07,383
160558,Paulo Freire Costa,PL,SP,1362,1,0.07,384
204356,Amaro Neto,REPUBLICANOS,ES,1485,1,0.07,385
160666,Félix Mendonça Júnior,PDT,BA,1400,1,0.07,386
204501,Alencar Santana,PT,SP,1421,1,0.07,387
178871,Evair Vieira De Melo,PP,ES,1362,1,0.07,388
204416,Sanderson,PL,RS,1366,1,0.07,389
141470,José Guimarães,PT,CE,1506,1,0.07,390
178835,Afonso Motta,PDT,RS,1476,1,0.07,391
121948,Adriano Do Baldy,PP,GO,1384,1,0.07,392
205550,Jorge Braz,REPUBLICANOS,RJ,1455,1,0.07,393
160538,Bohn Gass,PT,RS,1442,1,0.07,394
160535,Marcon,PT,RS,1351,1,0.07,395
74159,Odair Cunha,PT,MG,1393,1,0.07,396
74160,Patrus Ananias,PT,MG,1519,1,0.07,397
139285,Lídice Da Mata,PSB,BA,1352,1,0.07,398
204406,Pedro Westphalen,PP,RS,1348,1,0.07,399
178887,Rubens Pereira Júnior,PT,MA,1441,1,0.07,400
73433,Arlindo Chinaglia,PT,SP,1428,1,0.07,401
188097,Merlong Solano,PT,PI,1536,1,0.07,402
204426,Carlos Veras,PT,PE,1491,1,0.07,403
160556,Padre João,PT,MG,1459,1,0.07,404
204492,Paulo Guedes,PT,MG,1415,1,0.07,405
204457,Juninho Do Pneu,UNIÃO,RJ,1360,1,0.07,406
204480,Rogério Correia,PT,MG,1415,1,0.07,407
74060,Daniel Almeida,PCDOB,BA,1343,1,0.07,408
69871,Bacelar,PV,BA,1412,1,0.07,409
204504,Cezinha De Madureira,PSD,SP,1352,1,0.07,410
160673,Giovani Cherini,PL,RS,1428,1,0.07,411
204456,Gutemberg Reis,MDB,RJ,1409,1,0.07,412
204512,Delegado Marcelo Freitas,UNIÃO,MG,1576,1,0.06,413
204365,Gilson Marques,NOVO,SC,1679,1,0.06,414
74057,Alice Portugal,PCDOB,BA,1550,1,0.06,415
156190,Marcel Van Hattem,NOVO,RS,1604,1,0.06,416
204387,Sargento Fahur,PSD,PR,1544,1,0.06,417
178873,Helder Salomão,PT,ES,1629,1,0.06,418
160575,Erika Kokay,PT,DF,1650,1,0.06,419
204404,Lucas Redecker,PSDB,RS,1634,1,0.06,420
204394,Gervásio Maia,PSB,PB,1553,1,0.06,421
178844,Pedro Vilela,PSDB,AL,371,0,0.0,422
178862,Tia Eron,REPUBLICANOS,BA,125,0,0.0,423
204398,Felipe Francischini,,PR,50,0,0.0,424
178993,Carlos Henrique Gaguim,REPUBLICANOS,TO,60,0,0.0,425
178943,Marcos Soares,,RJ,34,0,0.0,426
178993,Carlos Henrique Gaguim,,TO,52,0,0.0,427
204455,Luiz Lima,PL,RJ,1023,0,0.0,428
141553,Vanderlei Macris,PSDB,SP,392,0,0.0,429
204455,Luiz Lima,,RJ,56,0,0.0,430
204386,Jose Mario Schreiner,MDB,GO,315,0,0.0,431
204455,Luiz Lima,UNIÃO,RJ,19,0,0.0,432
204386,Jose Mario Schreiner,UNIÃO,GO,92,0,0.0,433
204386,Jose Mario Schreiner,,GO,54,0,0.0,434
204455,Luiz Lima,S.PART.,RJ,4,0,0.0,435
204363,Osires Damaso,PSC,TO,333,0,0.0,436
204503,Alexandre Padilha,PT,SP,454,0,0.0,437
141434,Flaviano Melo,MDB,AC,399,0,0.0,438
204389,Elias Vaz,PSB,GO,418,0,0.0,439
204569,Delegado Pablo,,AM,40,0,0.0,440
204569,Delegado Pablo,UNIÃO,AM,302,0,0.0,441
160639,Professora Dorinha Seabra Rezende,UNIÃO,TO,255,0,0.0,442
160639,Professora Dorinha Seabra Rezende,,TO,39,0,0.0,443
74273,Jefferson Campos,PSB,SP,109,0,0.0,444
122466,Ronaldo Martins,REPUBLICANOS,CE,38,0,0.0,445
160587,Fábio Trad,PSD,MS,422,0,0.0,446
178909,Hélio Leite,UNIÃO,PA,590,0,0.0,447
122158,Pedro Paulo,PSD,RJ,830,0,0.0,448
